SRR3174967_trimmed_size.fasta,Count
hsa-mir-21-5p,215880
hsa-mir-10a-5p,47415
hsa-mir-100-5p,13399
hsa-mir-21-3p,5180
hsa-mir-183-5p,4752
hsa-mir-10b-5p,3590
hsa-mir-221-5p,2958
hsa-mir-30d-5p,2607
hsa-mir-4286-5p,2485
hsa-mir-4454-5p,2373
hsa-mir-7974-3p,1822
hsa-mir-182-5p,1726
hsa-mir-423-5p,1201
hsa-mir-181a-1-5p,1119
hsa-mir-181a-2-5p,1116
hsa-mir-31-5p,1106
hsa-mir-454-5p,1011
hsa-mir-30b-5p,913
hsa-mir-191-5p,802
hsa-mir-31-3p,744
hsa-mir-1275-5p,724
hsa-mir-15a-5p,673
hsa-mir-151a-5p,549
hsa-mir-12136-5p,492
hsa-let-7i-5p,441
hsa-mir-26a-1-5p,418
hsa-mir-1260b-5p,415
hsa-let-7b-3p,389
hsa-mir-532-5p,378
hsa-mir-30e-5p,360
hsa-mir-26a-2-5p,326
hsa-mir-16-2-5p,318
hsa-mir-15b-5p,304
hsa-mir-181b-1-5p,291
hsa-mir-28-5p,285
hsa-mir-203a-3p,273
hsa-let-7f-2-5p,261
hsa-mir-181b-2-5p,259
hsa-mir-196b-5p,256
hsa-let-7f-1-5p,253
hsa-mir-222-3p,230
hsa-let-7b-5p,209
hsa-let-7g-5p,195
hsa-mir-16-1-5p,188
hsa-mir-27a-5p,176
hsa-mir-27b-3p,174
hsa-let-7a-1-5p,169
hsa-mir-93-3p,168
hsa-mir-4521-5p,168
hsa-mir-93-5p,167
hsa-mir-374a-5p,154
hsa-mir-135b-5p,148
hsa-mir-30c-1-5p,147
hsa-let-7a-3-5p,139
hsa-mir-30c-2-5p,139
hsa-mir-181a-1-3p,137
hsa-mir-660-5p,129
hsa-mir-92a-1-3p,118
hsa-mir-331-5p,118
hsa-mir-2392-3p,112
hsa-mir-1296-5p,112
hsa-mir-92a-2-3p,111
hsa-let-7a-2-5p,104
hsa-mir-1260a-5p,102
hsa-mir-125a-5p,101
hsa-mir-744-5p,100
hsa-mir-3613-5p,99
hsa-mir-26b-5p,98
hsa-mir-22-3p,98
hsa-mir-3941-3p,94
hsa-mir-1294-3p,94
hsa-mir-106b-5p,84
hsa-mir-423-3p,82
hsa-mir-181b-1-3p,79
hsa-mir-125b-1-5p,76
hsa-mir-30d-3p,76
hsa-mir-29a-3p,76
hsa-mir-99a-5p,71
hsa-mir-1268b-5p,69
hsa-mir-16-2-3p,69
hsa-mir-335-5p,68
hsa-mir-1268a-5p,67
hsa-mir-151a-3p,64
hsa-mir-361-5p,61
hsa-mir-99b-5p,59
hsa-mir-8086-3p,57
hsa-mir-4517-5p,56
hsa-mir-16-1-3p,51
hsa-mir-425-5p,51
hsa-mir-320a-3p,49
hsa-mir-29b-1-5p,45
hsa-mir-27a-3p,43
hsa-mir-1255a-5p,42
hsa-mir-561-5p,41
hsa-mir-148a-5p,41
hsa-mir-10399-3p,41
hsa-mir-7704-5p,41
hsa-mir-141-5p,40
hsa-mir-10a-3p,38
hsa-mir-92b-3p,38
hsa-mir-196a-1-5p,38
hsa-mir-1285-1-5p,37
hsa-mir-15b-3p,37
hsa-mir-196a-2-5p,37
hsa-mir-3665-5p,36
hsa-mir-183-3p,35
hsa-mir-769-5p,33
hsa-mir-98-5p,33
hsa-mir-25-3p,32
hsa-mir-450b-5p,32
hsa-mir-6892-5p,32
hsa-mir-20a-5p,31
hsa-mir-224-5p,31
hsa-mir-200a-5p,31
hsa-mir-7-1-3p,30
hsa-mir-221-3p,29
hsa-let-7d-5p,29
hsa-mir-3159-3p,28
hsa-mir-10399-5p,28
hsa-mir-29a-5p,28
hsa-mir-125b-2-5p,27
hsa-mir-651-5p,27
hsa-mir-5092-3p,27
hsa-let-7a-1-3p,26
hsa-mir-2115-5p,26
hsa-mir-3648-2-3p,25
hsa-mir-128-1-5p,25
hsa-mir-3648-1-3p,25
hsa-mir-590-3p,24
hsa-mir-151b-3p,24
hsa-mir-186-5p,24
hsa-mir-148a-3p,24
hsa-let-7a-2-3p,23
hsa-mir-196a-1-3p,23
hsa-mir-28-3p,23
hsa-mir-18a-5p,22
hsa-mir-27b-5p,22
hsa-mir-192-5p,22
hsa-mir-3917-3p,22
hsa-mir-29c-3p,22
hsa-mir-7-1-5p,21
hsa-mir-3181-5p,21
hsa-mir-222-5p,21
hsa-mir-181c-5p,21
hsa-mir-182-3p,21
hsa-mir-29b-1-3p,21
hsa-mir-4485-3p,21
hsa-let-7f-2-3p,21
hsa-mir-30c-1-3p,20
hsa-mir-589-5p,20
hsa-mir-20a-3p,20
hsa-mir-3960-3p,20
hsa-mir-10392-5p,20
hsa-mir-32-5p,20
hsa-mir-663a-3p,19
hsa-let-7e-5p,19
hsa-mir-340-5p,19
hsa-mir-573-5p,18
hsa-mir-3662-3p,18
hsa-mir-181a-2-3p,18
hsa-mir-126-5p,18
hsa-mir-9901-5p,18
hsa-mir-3651-3p,18
hsa-mir-7976-5p,18
hsa-mir-100-3p,18
hsa-mir-330-5p,18
hsa-mir-103a-2-3p,17
hsa-mir-4502-3p,17
hsa-mir-12136-3p,17
hsa-mir-619-5p,17
hsa-let-7a-3-3p,17
hsa-mir-1257-5p,17
hsa-mir-12135-3p,17
hsa-mir-10396b-3p,16
hsa-mir-3916-5p,16
hsa-mir-23a-3p,16
hsa-mir-3648-2-5p,16
hsa-mir-17-5p,16
hsa-mir-135b-3p,16
hsa-mir-30e-3p,16
hsa-mir-1277-5p,15
hsa-mir-3648-1-5p,15
hsa-mir-96-5p,14
hsa-mir-130b-5p,14
hsa-let-7f-1-3p,14
hsa-mir-193b-5p,14
hsa-mir-98-3p,14
hsa-mir-24-2-5p,14
hsa-mir-148b-5p,14
hsa-mir-326-5p,14
hsa-mir-1248-5p,14
hsa-let-7c-5p,13
hsa-mir-499a-5p,13
hsa-mir-19a-3p,13
hsa-mir-132-5p,13
hsa-mir-1303-5p,13
hsa-mir-7706-3p,13
hsa-mir-5047-5p,13
hsa-mir-1261-5p,13
hsa-mir-149-5p,13
hsa-mir-103a-1-3p,12
hsa-mir-10396b-5p,12
hsa-mir-339-5p,12
hsa-mir-625-5p,12
hsa-mir-484-5p,12
hsa-mir-153-2-5p,12
hsa-mir-9-2-5p,11
hsa-mir-663a-5p,11
hsa-mir-3615-3p,11
hsa-mir-34a-5p,11
hsa-mir-671-3p,11
hsa-mir-9-1-5p,10
hsa-mir-9-3-5p,10
hsa-mir-6870-5p,10
hsa-mir-3180-5-5p,10
hsa-mir-4640-3p,10
hsa-mir-34c-5p,10
hsa-mir-6084-5p,10
hsa-mir-1307-5p,10
hsa-mir-5001-5p,10
hsa-mir-1246-5p,10
hsa-mir-548n-5p,10
hsa-mir-4521-3p,10
hsa-mir-10523-5p,10
hsa-mir-193b-3p,10
hsa-mir-10396a-5p,9
hsa-mir-8078-5p,9
hsa-mir-219a-1-5p,9
hsa-mir-3180-4-5p,9
hsa-mir-6125-3p,9
hsa-mir-361-3p,9
hsa-mir-4449-3p,9
hsa-mir-450a-1-5p,9
hsa-mir-2355-5p,9
hsa-mir-409-5p,9
hsa-mir-8072-5p,9
hsa-mir-223-3p,9
hsa-mir-6724-1-5p,8
hsa-mir-196b-3p,8
hsa-mir-142-5p,8
hsa-mir-200b-5p,8
hsa-mir-22-5p,8
hsa-mir-197-5p,8
hsa-mir-6724-4-5p,8
hsa-mir-6724-2-5p,8
hsa-mir-190a-5p,8
hsa-mir-181d-5p,7
hsa-mir-6724-3-5p,7
hsa-mir-128-1-3p,7
hsa-mir-23b-5p,7
hsa-let-7i-3p,7
hsa-mir-545-5p,7
hsa-mir-125b-1-3p,7
hsa-mir-551a-5p,7
hsa-mir-199b-5p,7
hsa-mir-590-5p,7
hsa-mir-10b-3p,7
hsa-mir-429-3p,7
hsa-mir-577-5p,7
hsa-mir-6516-3p,7
hsa-mir-4662a-5p,7
hsa-mir-335-3p,7
hsa-mir-374b-5p,7
hsa-mir-378a-3p,7
hsa-mir-548b-5p,7
hsa-mir-570-5p,7
hsa-mir-7851-5p,6
hsa-mir-486-1-5p,6
hsa-mir-10401-3p,6
hsa-mir-942-5p,6
hsa-mir-126-3p,6
hsa-mir-345-5p,6
hsa-mir-1180-3p,6
hsa-mir-146b-5p,6
hsa-mir-26a-1-3p,6
hsa-mir-770-5p,6
hsa-mir-381-5p,6
hsa-mir-29c-5p,6
hsa-mir-4707-5p,6
hsa-mir-101-1-5p,6
hsa-mir-26a-2-3p,6
hsa-mir-10394-3p,6
hsa-mir-451a-5p,6
hsa-mir-450a-2-5p,6
hsa-mir-25-5p,6
hsa-mir-1273c-5p,6
hsa-mir-578-5p,5
hsa-mir-12121-3p,5
hsa-mir-564-3p,5
hsa-mir-1272-5p,5
hsa-mir-128-2-3p,5
hsa-mir-663b-3p,5
hsa-mir-4787-5p,5
hsa-mir-7705-5p,5
hsa-mir-4472-2-3p,5
hsa-mir-10401-5p,5
hsa-mir-1273c-3p,5
hsa-mir-548ai-5p,5
hsa-mir-5091-5p,5
hsa-mir-6852-5p,5
hsa-mir-101-1-3p,5
hsa-mir-3928-5p,5
hsa-mir-3199-2-5p,5
hsa-mir-4492-5p,5
hsa-mir-1247-5p,5
hsa-mir-556-5p,5
hsa-mir-106b-3p,5
hsa-mir-203a-5p,5
hsa-mir-584-5p,5
hsa-mir-1307-3p,5
hsa-mir-19b-1-3p,5
hsa-mir-1291-5p,5
hsa-mir-339-3p,5
hsa-mir-6511b-1-3p,5
hsa-mir-3133-5p,5
hsa-mir-3605-5p,5
hsa-mir-374a-3p,5
hsa-mir-2117-3p,4
hsa-mir-3652-5p,4
hsa-mir-4449-5p,4
hsa-mir-200b-3p,4
hsa-mir-130a-5p,4
hsa-mir-191-3p,4
hsa-mir-19b-1-5p,4
hsa-mir-140-5p,4
hsa-mir-4638-5p,4
hsa-mir-6514-5p,4
hsa-mir-6881-5p,4
hsa-mir-4690-5p,4
hsa-mir-940-3p,4
hsa-mir-4725-5p,4
hsa-mir-653-5p,4
hsa-mir-662-5p,4
hsa-mir-101-2-3p,4
hsa-mir-148b-3p,4
hsa-mir-4508-5p,4
hsa-mir-5696-3p,4
hsa-mir-3614-5p,4
hsa-mir-320b-1-5p,4
hsa-mir-576-5p,4
hsa-mir-455-5p,4
hsa-mir-130b-3p,4
hsa-mir-3135b-3p,3
hsa-mir-671-5p,3
hsa-mir-4316-3p,3
hsa-mir-501-3p,3
hsa-mir-10396a-3p,3
hsa-mir-24-2-3p,3
hsa-mir-107-3p,3
hsa-mir-92b-5p,3
hsa-mir-11181-3p,3
hsa-mir-210-5p,3
hsa-let-7e-3p,3
hsa-mir-9902-2-3p,3
hsa-mir-1273h-5p,3
hsa-mir-365a-5p,3
hsa-mir-1252-5p,3
hsa-mir-452-5p,3
hsa-mir-9902-1-3p,3
hsa-mir-92a-1-5p,3
hsa-mir-4791-5p,3
hsa-mir-1285-1-3p,3
hsa-mir-125a-3p,3
hsa-mir-6732-3p,3
hsa-mir-3064-5p,3
hsa-mir-96-3p,3
hsa-mir-636-5p,3
hsa-mir-4741-3p,3
hsa-mir-4722-5p,3
hsa-let-7d-3p,3
hsa-mir-3660-3p,3
hsa-mir-6755-5p,3
hsa-mir-3655-5p,3
hsa-mir-1268a-3p,3
hsa-mir-941-1-3p,3
hsa-mir-6084-3p,3
hsa-mir-369-5p,3
hsa-mir-3166-3p,3
hsa-mir-1287-5p,3
hsa-mir-4430-3p,3
hsa-mir-340-3p,3
hsa-mir-3907-5p,3
hsa-mir-877-5p,3
hsa-mir-941-4-3p,3
hsa-mir-6789-5p,3
hsa-mir-6808-3p,3
hsa-mir-197-3p,3
hsa-mir-4443-5p,3
hsa-mir-941-3-3p,3
hsa-let-7g-3p,3
hsa-mir-548v-5p,3
hsa-mir-3188-3p,3
hsa-mir-421-5p,3
hsa-mir-10395-3p,3
hsa-mir-548u-5p,3
hsa-mir-33b-3p,3
hsa-mir-4793-5p,3
hsa-mir-210-3p,3
hsa-mir-941-5-3p,3
hsa-mir-941-2-3p,3
hsa-mir-4742-5p,3
hsa-mir-574-5p,3
hsa-mir-4658-3p,3
hsa-mir-936-5p,2
hsa-mir-3166-5p,2
hsa-mir-1237-5p,2
hsa-mir-326-3p,2
hsa-mir-5684-3p,2
hsa-mir-7703-3p,2
hsa-mir-3908-3p,2
hsa-mir-12126-5p,2
hsa-mir-195-5p,2
hsa-mir-411-5p,2
hsa-mir-1915-3p,2
hsa-mir-548k-5p,2
hsa-mir-4466-5p,2
hsa-mir-421-3p,2
hsa-mir-2114-5p,2
hsa-mir-4651-5p,2
hsa-mir-551b-3p,2
hsa-mir-17-3p,2
hsa-mir-6789-3p,2
hsa-mir-5100-5p,2
hsa-mir-3672-5p,2
hsa-mir-1231-3p,2
hsa-mir-601-5p,2
hsa-mir-4267-3p,2
hsa-mir-19b-2-3p,2
hsa-mir-3928-3p,2
hsa-mir-5680-5p,2
