	SRR3174962_trimmed_size.fasta
hsa-mir-320a-3p	68219
hsa-mir-877-5p	21600
hsa-mir-484-5p	16191
hsa-mir-3615-3p	10679
hsa-mir-7706-3p	10072
hsa-mir-4286-5p	6497
hsa-mir-7974-3p	4364
hsa-mir-4454-5p	4340
hsa-mir-1275-5p	2540
hsa-mir-21-5p	2007
hsa-mir-1260b-5p	1916
hsa-mir-3605-3p	1801
hsa-mir-3928-3p	1147
hsa-mir-1246-5p	1133
hsa-mir-10399-3p	1066
hsa-mir-12136-5p	1043
hsa-mir-3605-5p	1041
hsa-mir-191-5p	897
hsa-mir-92a-2-3p	857
hsa-mir-10a-5p	789
hsa-mir-4448-3p	787
hsa-mir-1843-5p	695
hsa-mir-222-3p	694
hsa-mir-100-5p	687
hsa-mir-6886-5p	666
hsa-mir-3929-3p	654
hsa-mir-1226-3p	637
hsa-mir-4741-3p	613
hsa-mir-4435-1-5p	541
hsa-mir-320b-2-3p	540
hsa-mir-22-3p	511
hsa-mir-182-5p	506
hsa-mir-4745-5p	499
hsa-mir-1224-5p	485
hsa-mir-6777-3p	457
hsa-let-7f-1-5p	449
hsa-mir-937-3p	443
hsa-mir-9901-5p	426
hsa-mir-31-5p	416
hsa-mir-1260a-5p	413
hsa-mir-4466-5p	362
hsa-mir-92b-3p	362
hsa-mir-1843-3p	361
hsa-mir-1285-1-5p	345
hsa-mir-10396b-3p	339
hsa-mir-1229-3p	333
hsa-mir-636-3p	327
hsa-mir-26a-2-5p	327
hsa-mir-10527-5p	315
hsa-mir-6807-3p	301
hsa-mir-5100-3p	254
hsa-mir-6511a-1-3p	243
hsa-let-7i-5p	243
hsa-mir-181a-2-5p	236
hsa-mir-5701-3-5p	229
hsa-mir-3159-3p	226
hsa-mir-10399-5p	225
hsa-mir-6811-5p	222
hsa-mir-10401-3p	222
hsa-mir-8086-3p	221
hsa-mir-186-5p	219
hsa-mir-16-2-5p	212
hsa-mir-151a-5p	205
hsa-mir-6784-3p	204
hsa-mir-4284-5p	200
hsa-mir-21-3p	200
hsa-mir-27b-3p	199
hsa-let-7a-2-5p	191
hsa-mir-7977-5p	189
hsa-mir-30e-5p	186
hsa-mir-221-3p	180
hsa-mir-30d-5p	177
hsa-mir-378a-3p	174
hsa-mir-423-3p	174
hsa-mir-6859-2-5p	169
hsa-mir-151a-3p	167
hsa-mir-3620-3p	166
hsa-mir-6850-5p	164
hsa-mir-1303-5p	161
hsa-mir-1226-5p	151
