SRR3174962_trimmed_size.fasta,Count
hsa-mir-320a-3p,49952
hsa-mir-877-5p,20348
hsa-mir-484-5p,15844
hsa-mir-3615-3p,10531
hsa-mir-7706-3p,9906
hsa-mir-4286-5p,5534
hsa-mir-7974-3p,4329
hsa-mir-4454-5p,3292
hsa-mir-320b-1-3p,2847
hsa-mir-320b-2-3p,2847
hsa-mir-21-5p,1994
hsa-mir-3605-3p,1663
hsa-mir-1275-5p,1579
hsa-mir-1260a-5p,1427
hsa-mir-1260b-5p,1247
hsa-mir-3605-5p,1032
hsa-mir-191-5p,894
hsa-mir-3928-3p,887
hsa-mir-12136-5p,812
hsa-mir-10399-3p,772
hsa-mir-10a-5p,765
hsa-mir-320c-2-3p,725
hsa-mir-222-3p,688
hsa-mir-1843-5p,668
hsa-mir-6886-5p,649
hsa-mir-100-5p,619
hsa-mir-4640-3p,615
hsa-mir-3929-3p,612
hsa-mir-1226-3p,573
hsa-mir-4741-3p,540
hsa-mir-22-3p,506
hsa-mir-182-5p,506
hsa-mir-92a-1-3p,452
hsa-mir-4745-5p,450
hsa-mir-92a-2-3p,430
hsa-mir-1224-5p,427
hsa-mir-937-3p,416
hsa-mir-31-5p,413
hsa-mir-6777-3p,363
hsa-mir-1843-3p,349
hsa-mir-92b-3p,334
hsa-mir-10527-5p,314
hsa-mir-636-3p,312
hsa-mir-1229-3p,309
hsa-mir-320c-1-3p,302
hsa-mir-6807-3p,286
hsa-mir-4435-2-5p,269
hsa-mir-10396b-3p,268
hsa-mir-4435-1-5p,267
hsa-mir-2392-3p,263
hsa-let-7i-5p,241
hsa-mir-1908-5p,239
hsa-mir-3941-3p,239
hsa-mir-1294-3p,237
hsa-let-7f-2-5p,233
hsa-mir-10399-5p,225
hsa-mir-6811-5p,222
hsa-let-7f-1-5p,221
hsa-mir-186-5p,218
hsa-mir-9901-5p,197
hsa-mir-21-3p,197
hsa-mir-151a-5p,195
hsa-mir-1226-5p,195
hsa-mir-10401-3p,191
hsa-mir-30e-5p,186
hsa-mir-27b-3p,179
hsa-mir-221-3p,177
hsa-mir-30d-5p,177
hsa-mir-3620-3p,165
hsa-mir-423-3p,165
hsa-mir-26a-1-5p,164
hsa-mir-26a-2-5p,163
hsa-mir-151a-3p,155
hsa-mir-203a-3p,146
hsa-mir-99b-5p,146
hsa-mir-423-5p,144
hsa-mir-6850-5p,141
hsa-mir-4443-5p,139
hsa-mir-378a-3p,138
hsa-mir-4479-3p,135
hsa-mir-25-3p,134
hsa-mir-6716-3p,130
hsa-mir-181a-2-5p,125
hsa-mir-3614-5p,121
hsa-mir-3143-5p,120
hsa-mir-10b-5p,119
hsa-mir-6765-3p,118
hsa-mir-4521-5p,117
hsa-mir-181a-1-5p,116
hsa-mir-1292-5p,110
hsa-mir-6784-3p,109
hsa-mir-16-2-5p,106
hsa-mir-16-1-5p,105
hsa-mir-6789-5p,103
hsa-mir-6847-5p,103
hsa-mir-183-5p,102
hsa-mir-1538-3p,101
hsa-mir-877-3p,94
hsa-mir-6798-3p,93
hsa-mir-7705-5p,91
hsa-mir-6850-3p,89
hsa-mir-664a-3p,87
hsa-mir-5094-5p,86
hsa-mir-943-3p,85
hsa-mir-29a-3p,84
hsa-mir-148a-3p,83
hsa-mir-141-3p,77
hsa-mir-8086-3p,76
hsa-mir-744-5p,76
hsa-mir-4485-3p,74
hsa-mir-6783-3p,73
hsa-mir-3665-5p,71
hsa-mir-1307-5p,71
hsa-mir-125a-5p,71
hsa-let-7a-1-5p,70
hsa-mir-3195-3p,66
hsa-mir-939-5p,66
hsa-mir-6741-3p,62
hsa-mir-6735-5p,62
hsa-mir-26b-5p,62
hsa-mir-1976-3p,62
hsa-mir-6824-3p,62
hsa-mir-7704-5p,60
hsa-let-7a-3-5p,59
hsa-let-7a-2-5p,59
hsa-let-7d-5p,58
hsa-let-7g-5p,58
hsa-mir-6511a-4-3p,57
hsa-mir-3648-2-3p,56
hsa-mir-6511a-1-3p,56
hsa-mir-6511a-3-3p,56
hsa-mir-6511a-2-3p,56
hsa-mir-769-5p,56
hsa-mir-2110-3p,56
hsa-mir-659-5p,56
hsa-mir-1268b-5p,56
hsa-mir-27a-3p,55
hsa-mir-6511b-2-3p,55
hsa-mir-6511b-1-3p,55
hsa-mir-3620-5p,55
hsa-mir-6514-5p,55
hsa-mir-3648-1-3p,54
hsa-mir-1285-1-5p,54
hsa-mir-6735-3p,53
hsa-mir-12136-3p,53
hsa-mir-4785-3p,53
hsa-mir-93-5p,53
hsa-mir-3159-3p,52
hsa-mir-6868-3p,52
hsa-mir-148b-3p,52
hsa-mir-4449-3p,51
hsa-mir-1268a-5p,51
hsa-mir-1237-3p,51
hsa-mir-6817-3p,51
hsa-mir-4502-3p,50
hsa-mir-3960-3p,49
hsa-mir-5010-3p,49
hsa-mir-619-5p,49
hsa-mir-3188-3p,48
hsa-mir-28-3p,48
hsa-mir-4466-5p,48
hsa-mir-6866-5p,47
hsa-mir-103a-2-3p,46
hsa-mir-6786-3p,46
hsa-mir-223-3p,46
hsa-mir-103a-1-3p,45
hsa-mir-4742-3p,44
hsa-mir-200b-3p,43
hsa-mir-6819-3p,43
hsa-mir-6852-5p,43
hsa-mir-6859-1-5p,42
hsa-mir-6859-3-5p,42
hsa-mir-6859-2-5p,42
hsa-mir-4517-5p,42
hsa-mir-6859-4-5p,42
hsa-mir-6816-3p,41
hsa-mir-6842-3p,40
hsa-mir-6772-3p,40
hsa-mir-6881-3p,40
hsa-mir-3912-3p,40
hsa-mir-4728-3p,40
hsa-mir-6877-3p,39
hsa-mir-6800-3p,39
hsa-mir-573-5p,39
hsa-mir-3651-3p,38
hsa-mir-1227-3p,38
hsa-mir-486-1-5p,38
hsa-mir-6783-5p,38
hsa-mir-4256-5p,37
hsa-mir-320d-1-3p,37
hsa-mir-1293-3p,37
hsa-let-7b-5p,37
hsa-mir-125b-2-5p,36
hsa-mir-8072-5p,36
hsa-mir-561-5p,36
hsa-mir-7703-3p,36
hsa-mir-6837-3p,36
hsa-mir-3648-2-5p,35
hsa-mir-4638-3p,35
hsa-mir-345-5p,35
hsa-mir-125b-1-5p,35
hsa-mir-98-5p,35
hsa-mir-1228-3p,35
hsa-mir-6895-3p,34
hsa-mir-6892-5p,34
hsa-mir-4738-3p,34
hsa-mir-4697-3p,33
hsa-mir-6516-3p,33
hsa-mir-3662-3p,33
hsa-mir-6770-3-3p,32
hsa-mir-6770-1-3p,32
hsa-mir-6770-2-3p,32
hsa-mir-3064-5p,32
hsa-mir-5010-5p,32
hsa-mir-12135-3p,32
hsa-mir-6516-5p,31
hsa-mir-3190-3p,31
hsa-mir-5702-5p,31
hsa-mir-1257-5p,31
hsa-mir-3648-1-5p,30
hsa-mir-3180-5-5p,30
hsa-mir-1261-5p,30
hsa-mir-3916-5p,30
hsa-mir-29c-3p,30
hsa-mir-6732-3p,29
hsa-mir-5088-5p,29
hsa-mir-1236-3p,29
hsa-mir-664a-5p,28
hsa-mir-3180-4-5p,27
hsa-mir-6738-3p,27
hsa-mir-6084-5p,27
hsa-mir-1248-5p,27
hsa-mir-635-5p,26
hsa-mir-125b-1-3p,26
hsa-mir-1272-5p,25
hsa-mir-1307-3p,25
hsa-mir-548q-5p,25
hsa-mir-663a-3p,25
hsa-mir-6737-3p,25
hsa-mir-5092-3p,25
hsa-let-7e-5p,25
hsa-mir-151b-5p,25
hsa-mir-1233-2-3p,24
hsa-mir-1233-1-3p,24
hsa-mir-23a-3p,24
hsa-mir-6820-5p,24
hsa-mir-1234-3p,24
hsa-mir-3182-5p,24
hsa-mir-7111-3p,24
hsa-mir-6862-1-5p,23
hsa-mir-6836-5p,23
hsa-mir-4522-3p,23
hsa-mir-126-5p,23
hsa-mir-2115-5p,23
hsa-mir-6862-2-5p,23
hsa-mir-4430-3p,23
hsa-mir-6826-5p,22
hsa-mir-6742-3p,22
hsa-mir-6857-3p,22
hsa-mir-6769b-3p,22
hsa-mir-6762-3p,22
hsa-mir-10392-5p,21
hsa-mir-663a-5p,21
hsa-mir-181a-1-3p,21
hsa-mir-6895-5p,21
hsa-mir-9898-3p,21
hsa-mir-181b-2-5p,21
hsa-mir-106b-5p,21
hsa-mir-4647-5p,21
hsa-mir-6721-5p,21
hsa-mir-12121-3p,20
hsa-mir-181b-1-5p,20
hsa-mir-6747-3p,20
hsa-mir-6832-5p,20
hsa-mir-577-5p,20
hsa-mir-584-5p,20
hsa-mir-1246-5p,20
hsa-mir-6818-5p,20
hsa-mir-10396b-5p,19
hsa-mir-107-3p,19
hsa-mir-6869-5p,19
hsa-mir-6511b-1-5p,19
hsa-mir-6511b-2-5p,19
hsa-mir-5192-5p,19
hsa-mir-636-5p,19
hsa-mir-1289-1-5p,19
hsa-mir-6797-3p,19
hsa-mir-1293-5p,19
hsa-mir-200c-3p,19
hsa-mir-4508-5p,18
hsa-mir-128-2-3p,18
hsa-mir-128-1-3p,18
hsa-mir-3143-3p,18
hsa-mir-4688-3p,18
hsa-mir-6501-5p,18
hsa-mir-6805-5p,18
hsa-mir-5696-5p,18
hsa-mir-30c-1-5p,17
hsa-mir-30c-2-5p,17
hsa-mir-101-1-3p,17
hsa-mir-3917-3p,17
hsa-mir-130b-3p,17
hsa-mir-6875-5p,17
hsa-mir-4685-3p,17
hsa-mir-4515-5p,17
hsa-mir-219a-1-3p,17
hsa-mir-5006-3p,17
hsa-mir-429-3p,17
hsa-mir-6511a-4-5p,16
hsa-mir-6882-5p,16
hsa-mir-101-2-3p,16
hsa-mir-4767-5p,16
hsa-mir-148b-5p,16
hsa-mir-5100-3p,16
hsa-mir-6515-5p,16
hsa-mir-6510-3p,16
hsa-mir-6805-3p,16
hsa-mir-33b-3p,16
hsa-mir-5696-3p,16
hsa-mir-6873-3p,16
hsa-mir-10396a-5p,15
hsa-mir-6724-2-5p,15
hsa-mir-6724-1-5p,15
hsa-mir-6821-3p,15
hsa-mir-192-5p,15
hsa-mir-6827-3p,15
hsa-mir-6858-3p,15
hsa-mir-4722-5p,15
hsa-mir-7111-5p,15
hsa-mir-221-5p,15
hsa-mir-6787-3p,15
hsa-mir-4667-5p,15
hsa-mir-6724-4-5p,14
hsa-mir-7851-5p,14
hsa-mir-6511a-3-5p,14
hsa-mir-6511a-1-5p,14
hsa-mir-6511a-2-5p,14
hsa-mir-320d-2-3p,14
hsa-mir-6505-5p,14
hsa-mir-6724-3-5p,14
hsa-mir-6513-3p,14
hsa-mir-10395-3p,14
hsa-mir-6764-3p,14
hsa-mir-4498-5p,14
hsa-mir-301a-3p,14
hsa-mir-6773-5p,14
hsa-mir-552-3p,14
hsa-mir-4472-2-3p,14
hsa-mir-3181-5p,14
hsa-mir-937-5p,14
hsa-mir-143-3p,14
hsa-mir-6894-5p,14
hsa-mir-6851-5p,13
hsa-mir-4781-3p,13
hsa-mir-10523-5p,13
hsa-mir-6858-5p,13
hsa-mir-4734-3p,13
hsa-mir-4521-3p,13
hsa-mir-1291-5p,13
hsa-mir-6801-3p,13
hsa-mir-5001-5p,13
hsa-let-7d-3p,13
hsa-mir-7108-5p,13
hsa-mir-7107-5p,13
hsa-mir-5701-2-5p,12
hsa-mir-6845-5p,12
hsa-mir-127-3p,12
hsa-mir-106b-3p,12
hsa-mir-6775-3p,12
hsa-mir-6834-3p,12
hsa-mir-4758-3p,12
hsa-mir-1229-5p,12
hsa-mir-6832-3p,12
hsa-mir-425-5p,12
hsa-mir-6834-5p,12
hsa-mir-6806-3p,12
hsa-mir-4648-5p,12
hsa-mir-7705-3p,12
hsa-mir-6853-3p,12
hsa-mir-5588-5p,12
hsa-mir-4726-5p,12
hsa-mir-6831-5p,11
hsa-mir-5701-1-5p,11
hsa-mir-5701-3-5p,11
hsa-mir-3652-5p,11
hsa-mir-6797-5p,11
hsa-mir-10396a-3p,11
hsa-mir-578-5p,11
hsa-mir-4519-3p,11
hsa-mir-140-3p,11
hsa-mir-6852-3p,11
hsa-mir-222-5p,11
hsa-mir-375-3p,11
hsa-mir-6881-5p,11
hsa-mir-7112-3p,11
hsa-mir-6750-3p,11
hsa-mir-30e-3p,11
hsa-mir-409-5p,11
hsa-mir-4449-5p,11
hsa-mir-30b-5p,10
hsa-mir-4707-5p,10
hsa-mir-8078-5p,10
hsa-mir-4274-5p,10
hsa-mir-451a-5p,10
hsa-mir-2117-3p,10
hsa-mir-19b-2-3p,10
hsa-mir-6884-5p,10
hsa-mir-17-5p,10
hsa-mir-1304-3p,10
hsa-mir-12121-5p,10
hsa-mir-4727-3p,10
hsa-mir-149-5p,10
hsa-mir-5047-5p,10
hsa-mir-3666-5p,10
hsa-mir-6894-3p,10
hsa-mir-4489-3p,10
hsa-mir-6728-5p,10
hsa-mir-4451-3p,10
hsa-mir-130a-3p,10
hsa-mir-4645-3p,10
hsa-mir-6753-3p,10
hsa-mir-200a-3p,10
hsa-mir-3135b-3p,9
hsa-mir-4787-5p,9
hsa-mir-6865-5p,9
hsa-mir-151b-3p,9
hsa-mir-4700-5p,9
hsa-mir-28-5p,9
hsa-mir-19a-3p,9
hsa-mir-3609-3p,9
hsa-mir-130b-5p,9
hsa-mir-4638-5p,9
hsa-mir-1909-5p,9
hsa-mir-3913-1-5p,9
hsa-mir-5695-3p,9
hsa-mir-141-5p,9
hsa-mir-548al-3p,9
hsa-mir-5091-5p,9
hsa-mir-933-3p,9
hsa-mir-6813-5p,9
hsa-mir-4745-3p,9
hsa-mir-3913-2-5p,9
hsa-mir-4709-5p,9
hsa-mir-6844-3p,9
hsa-mir-6885-3p,9
hsa-mir-6727-5p,9
hsa-mir-6125-5p,9
hsa-mir-6856-5p,9
hsa-mir-320b-1-5p,9
hsa-mir-6803-3p,9
hsa-mir-3940-3p,9
hsa-mir-4469-3p,8
hsa-mir-6856-3p,8
hsa-mir-1296-5p,8
hsa-mir-4690-5p,8
hsa-mir-6125-3p,8
hsa-mir-374a-5p,8
hsa-mir-4723-3p,8
hsa-mir-939-3p,8
hsa-mir-4709-3p,8
hsa-mir-1236-5p,8
hsa-mir-8072-3p,8
hsa-mir-30a-5p,8
hsa-mir-16-2-3p,8
hsa-mir-6728-3p,8
hsa-mir-660-5p,8
hsa-mir-532-5p,8
hsa-mir-658-5p,8
hsa-mir-4311-5p,8
hsa-mir-4519-5p,8
hsa-mir-421-3p,8
hsa-mir-5187-3p,8
hsa-mir-19b-1-3p,8
hsa-mir-6807-5p,8
hsa-mir-487a-5p,8
hsa-mir-6879-3p,8
hsa-mir-6876-5p,8
hsa-mir-1268a-3p,8
hsa-mir-1273c-5p,8
hsa-mir-5090-5p,8
hsa-mir-1231-3p,8
hsa-mir-6787-5p,8
hsa-mir-4757-3p,8
hsa-mir-6862-1-3p,7
hsa-mir-6862-2-3p,7
hsa-mir-24-2-3p,7
hsa-mir-24-1-3p,7
hsa-mir-1247-5p,7
hsa-mir-4674-5p,7
hsa-mir-6789-3p,7
hsa-mir-6799-3p,7
hsa-mir-15a-5p,7
hsa-mir-1909-3p,7
hsa-mir-4750-5p,7
hsa-mir-4749-5p,7
hsa-mir-4470-5p,7
hsa-mir-7114-5p,7
hsa-mir-5695-5p,7
hsa-mir-7114-3p,7
hsa-mir-5001-3p,7
hsa-mir-6815-3p,7
hsa-mir-340-5p,7
hsa-mir-3610-3p,7
hsa-mir-4720-5p,7
hsa-mir-3166-3p,7
hsa-mir-122-5p,7
hsa-mir-7108-3p,7
hsa-mir-4484-3p,7
hsa-mir-6733-5p,7
hsa-mir-196a-2-5p,7
hsa-mir-6847-3p,7
hsa-mir-500a-3p,7
hsa-mir-6791-3p,7
hsa-mir-6768-5p,7
hsa-mir-7845-3p,7
hsa-mir-92b-5p,6
hsa-mir-4492-5p,6
hsa-mir-9-1-5p,6
hsa-mir-9-2-5p,6
hsa-mir-9-3-5p,6
hsa-mir-4793-5p,6
hsa-mir-941-4-3p,6
hsa-mir-941-2-3p,6
hsa-mir-941-5-3p,6
hsa-mir-941-1-3p,6
hsa-mir-941-3-3p,6
hsa-mir-6770-2-5p,6
hsa-mir-6770-1-5p,6
hsa-mir-6770-3-5p,6
hsa-mir-548k-5p,6
hsa-mir-4741-5p,6
hsa-mir-4435-2-3p,6
hsa-mir-7112-5p,6
hsa-mir-3193-3p,6
hsa-mir-9899-3p,6
hsa-mir-6843-3p,6
hsa-mir-6751-3p,6
hsa-mir-6891-5p,6
hsa-mir-381-5p,6
hsa-mir-6757-3p,6
hsa-mir-196b-5p,6
hsa-mir-6849-3p,6
hsa-mir-6886-3p,6
hsa-mir-6804-5p,6
hsa-mir-4435-1-3p,6
hsa-mir-4723-5p,6
hsa-mir-4485-5p,6
hsa-mir-99a-5p,6
hsa-mir-6793-5p,6
hsa-mir-6739-3p,6
hsa-mir-10401-5p,6
hsa-mir-6854-5p,6
hsa-mir-3178-5p,6
hsa-mir-335-3p,6
hsa-mir-4673-5p,6
hsa-mir-6855-3p,6
hsa-mir-505-3p,6
hsa-mir-149-3p,6
hsa-mir-5196-3p,6
hsa-mir-671-3p,6
hsa-mir-339-3p,6
hsa-mir-6780a-5p,6
hsa-mir-181c-5p,6
hsa-mir-615-3p,6
hsa-mir-12128-5p,6
hsa-mir-6505-3p,6
hsa-mir-6818-3p,6
hsa-mir-15b-5p,6
hsa-mir-4775-5p,6
hsa-mir-146b-5p,6
hsa-mir-6731-3p,6
hsa-mir-10400-5p,5
hsa-mir-499a-5p,5
hsa-mir-4492-3p,5
hsa-mir-4444-1-3p,5
hsa-mir-4444-2-3p,5
hsa-mir-1285-1-3p,5
hsa-mir-126-3p,5
hsa-mir-6890-5p,5
hsa-mir-6782-3p,5
hsa-mir-7110-3p,5
hsa-mir-1912-5p,5
hsa-mir-7106-3p,5
hsa-mir-5588-3p,5
hsa-mir-4999-3p,5
hsa-mir-3940-5p,5
hsa-mir-454-3p,5
hsa-mir-6802-3p,5
hsa-mir-361-5p,5
hsa-mir-664b-3p,5
hsa-mir-330-5p,5
hsa-mir-4260-5p,5
hsa-mir-550b-1-5p,5
hsa-mir-6761-5p,5
hsa-mir-5680-3p,5
hsa-mir-615-5p,5
hsa-mir-572-3p,5
hsa-mir-4690-3p,5
hsa-mir-6769a-5p,5
hsa-mir-612-5p,5
hsa-mir-6729-5p,5
hsa-mir-100-3p,5
hsa-mir-6880-5p,5
hsa-mir-4721-3p,5
hsa-mir-30d-3p,5
hsa-mir-6790-3p,5
hsa-mir-6739-5p,5
hsa-mir-324-3p,5
hsa-mir-501-3p,5
hsa-mir-564-3p,5
hsa-mir-589-5p,5
hsa-mir-6892-3p,5
hsa-mir-7845-5p,5
hsa-mir-4646-5p,5
hsa-mir-6794-3p,5
hsa-mir-6748-5p,5
hsa-mir-142-5p,5
hsa-mir-210-3p,5
hsa-mir-6808-3p,5
hsa-mir-6745-3p,5
hsa-mir-671-5p,5
hsa-mir-6877-5p,5
hsa-mir-6740-5p,5
hsa-mir-6893-5p,5
hsa-mir-1273h-5p,5
hsa-mir-4646-3p,5
hsa-mir-4742-5p,5
