SRR3174965_trimmed_size.fasta,Count
hsa-mir-21-5p,109661
hsa-mir-22-3p,73522
hsa-mir-222-3p,47532
hsa-mir-10a-5p,45784
hsa-mir-27b-3p,43485
hsa-mir-31-5p,41720
hsa-mir-10b-5p,40511
hsa-mir-92a-1-3p,38909
hsa-mir-92a-2-3p,36340
hsa-mir-151a-5p,19233
hsa-mir-423-5p,18608
hsa-mir-423-3p,18426
hsa-mir-151a-3p,17720
hsa-mir-182-5p,16933
hsa-mir-21-3p,16764
hsa-mir-30e-5p,14504
hsa-mir-26a-1-5p,13150
hsa-mir-26a-2-5p,13150
hsa-mir-28-3p,12887
hsa-mir-16-2-5p,11585
hsa-mir-16-1-5p,11583
hsa-mir-191-5p,9209
hsa-mir-484-5p,8978
hsa-mir-29a-3p,8637
hsa-mir-25-3p,8314
hsa-mir-27a-3p,8243
hsa-mir-221-3p,7792
hsa-let-7i-5p,6675
hsa-mir-100-5p,6298
hsa-mir-181a-2-5p,6161
hsa-mir-181a-1-5p,6158
hsa-mir-103a-2-3p,5782
hsa-mir-103a-1-3p,5760
hsa-mir-320a-3p,5743
hsa-mir-3615-3p,4901
hsa-mir-30d-5p,4598
hsa-mir-7706-3p,4562
hsa-mir-92b-3p,3542
hsa-mir-196b-5p,3499
hsa-mir-186-5p,3477
hsa-mir-125a-5p,3242
hsa-let-7f-2-5p,2857
hsa-mir-28-5p,2805
hsa-let-7f-1-5p,2578
hsa-mir-378a-3p,2230
hsa-mir-4286-5p,2218
hsa-mir-4454-5p,2102
hsa-mir-30b-5p,2063
hsa-mir-128-1-3p,2044
hsa-mir-7974-3p,1982
hsa-mir-128-2-3p,1913
hsa-mir-99b-5p,1876
hsa-mir-769-5p,1793
hsa-mir-26b-5p,1700
hsa-mir-125b-1-5p,1616
hsa-mir-125b-2-5p,1614
hsa-mir-16-2-3p,1505
hsa-mir-23a-3p,1458
hsa-mir-301a-3p,1301
hsa-mir-584-5p,1192
hsa-mir-93-5p,1142
hsa-mir-15b-5p,1107
hsa-mir-345-5p,1094
hsa-let-7g-5p,1048
hsa-mir-107-3p,962
hsa-mir-140-3p,957
hsa-mir-192-5p,929
hsa-mir-203a-3p,903
hsa-mir-148a-3p,888
hsa-mir-301b-3p,877
hsa-mir-1307-5p,832
hsa-mir-486-1-5p,826
hsa-mir-4256-5p,818
hsa-mir-744-5p,803
hsa-mir-12136-5p,766
hsa-mir-183-5p,738
hsa-mir-151b-3p,705
hsa-mir-30c-2-5p,701
hsa-mir-30c-1-5p,683
hsa-mir-200b-3p,636
hsa-mir-222-5p,632
hsa-mir-625-3p,627
hsa-mir-101-2-3p,608
hsa-let-7d-5p,604
hsa-mir-181b-2-5p,598
hsa-mir-101-1-3p,590
hsa-mir-181b-1-5p,583
hsa-mir-671-3p,555
hsa-mir-19b-1-3p,539
