	Count
hsa-mir-320a-3p	55127
hsa-mir-877-5p	20348
hsa-mir-484	15845
hsa-mir-320b	10716
hsa-mir-3615	10534
hsa-mir-7706	9910
hsa-mir-4286	5544
hsa-mir-7974	4329
hsa-mir-4454	3292
hsa-mir-21-5p	1994
hsa-mir-1275	1906
hsa-mir-3605-3p	1663
hsa-mir-1260a	1427
hsa-mir-1260b	1246
hsa-mir-3605-5p	1032
hsa-mir-1843	1016
hsa-mir-191-5p	894
hsa-mir-3928-3p	885
hsa-mir-92a-3p	882
hsa-mir-12136	863
hsa-mir-10399-3p	769
hsa-mir-10a-5p	765
hsa-mir-320c	735
hsa-mir-222-3p	688
hsa-mir-4260	673
hsa-mir-6886-5p	649
hsa-mir-100-5p	625
hsa-mir-4640-3p	615
hsa-mir-3929	613
hsa-mir-1226-3p	573
hsa-mir-4435	548
hsa-mir-4741	546
hsa-mir-182-5p	506
hsa-mir-22-3p	506
hsa-let-7f-5p	454
hsa-mir-4745-5p	450
hsa-mir-1224-5p	427
hsa-mir-937-3p	415
hsa-mir-31-5p	413
hsa-mir-6777-3p	364
hsa-mir-92b-3p	334
hsa-mir-636	331
hsa-mir-26a-5p	327
hsa-mir-10527-5p	315
hsa-mir-1229-3p	309
hsa-mir-6807-3p	287
hsa-mir-2392	264
hsa-mir-10396b-3p	252
hsa-let-7i-5p	241
hsa-mir-181a-5p	241
hsa-mir-3941	240
hsa-mir-1908-5p	239
hsa-mir-1294	237
hsa-mir-6511a-3p	229
hsa-mir-10399-5p	225
hsa-mir-6811-5p	222
hsa-mir-186-5p	218
hsa-mir-9901	216
hsa-mir-16-5p	211
hsa-mir-21-3p	197
hsa-mir-151a-5p	196
hsa-mir-1226-5p	195
hsa-mir-10401-3p	190
hsa-mir-27b-3p	188
hsa-mir-30e-5p	186
hsa-let-7a-5p	184
hsa-mir-30d-5p	178
hsa-mir-221-3p	177
hsa-mir-3648	172
hsa-mir-6859-5p	168
hsa-mir-423-3p	165
hsa-mir-3620-3p	165
hsa-mir-378a-3p	163
hsa-mir-203a-3p	148
hsa-mir-6765-3p	147
hsa-mir-99b-5p	146
hsa-mir-423-5p	145
hsa-mir-6850-5p	141
hsa-mir-4443	139
hsa-mir-4479	138
hsa-mir-3143	138
hsa-mir-151a-3p	136
hsa-mir-25-3p	134
hsa-mir-6716-3p	130
hsa-mir-4521	125
hsa-mir-3614-5p	122
hsa-mir-10b-5p	119
hsa-mir-6511b-3p	110
hsa-mir-1292-5p	110
hsa-mir-6784-3p	109
hsa-mir-1538	104
hsa-mir-6789-5p	104
hsa-mir-7705	103
hsa-mir-6847-5p	103
hsa-mir-183-5p	103
hsa-mir-6770-3p	96
hsa-mir-877-3p	94
hsa-mir-6798-3p	93
hsa-mir-103a-3p	91
hsa-mir-6850-3p	89
hsa-mir-5094	88
hsa-mir-664a-3p	87
hsa-mir-943	85
hsa-mir-1285-5p	84
hsa-mir-29a-3p	84
hsa-mir-148a-3p	83
hsa-mir-3665	82
hsa-mir-486-5p	79
hsa-mir-141-3p	77
hsa-mir-744-5p	76
hsa-mir-125b-5p	74
hsa-mir-6783-3p	73
hsa-mir-6511a-5p	72
hsa-mir-1307-5p	71
hsa-mir-939-5p	71
hsa-mir-125a-5p	70
hsa-mir-8086	69
hsa-mir-3195	69
