	Count
hsa-mir-21-5p	365015
hsa-mir-222-3p	208308
hsa-mir-92a-3p	203491
hsa-mir-191-5p	188960
hsa-mir-10a-5p	164035
hsa-mir-182-5p	134436
hsa-let-7f-5p	133873
hsa-mir-100-5p	132585
hsa-mir-31-5p	95514
hsa-mir-92b-3p	86480
hsa-mir-22-3p	85987
hsa-mir-26a-5p	63699
hsa-let-7a-5p	50932
hsa-let-7i-5p	49748
hsa-mir-16-5p	45626
hsa-mir-186-5p	43033
hsa-mir-151a-5p	42909
hsa-mir-30e-5p	40559
hsa-mir-30d-5p	36477
hsa-mir-181a-5p	36074
hsa-mir-151a-3p	33525
hsa-mir-423-5p	33454
hsa-mir-27b-3p	33128
hsa-mir-423-3p	32261
hsa-mir-378a-3p	31827
hsa-mir-221-3p	31382
hsa-mir-21-3p	30928
hsa-mir-25-3p	30349
hsa-mir-99b-5p	28626
hsa-mir-183-5p	21293
hsa-mir-10b-5p	21157
hsa-mir-103a-3p	19458
hsa-mir-29a-3p	16905
hsa-mir-148a-3p	16735
hsa-let-7d-5p	15912
hsa-mir-125b-5p	15571
hsa-let-7g-5p	15092
hsa-mir-200b-3p	14280
hsa-mir-744-5p	13595
hsa-mir-125a-5p	13494
hsa-mir-320a-3p	12608
hsa-mir-27a-3p	12475
hsa-mir-28-3p	12380
hsa-mir-141-3p	11883
hsa-mir-93-5p	10744
hsa-mir-148b-3p	10410
hsa-mir-1307-5p	10259
hsa-mir-181b-5p	10127
hsa-let-7b-5p	8800
hsa-mir-769-5p	8630
hsa-mir-128-3p	8406
hsa-mir-26b-5p	7972
hsa-mir-345-5p	7709
hsa-let-7e-5p	7467
hsa-mir-30c-5p	6343
hsa-mir-98-5p	6297
hsa-mir-941	6101
hsa-mir-1307-3p	6079
hsa-mir-425-5p	5512
hsa-mir-126-5p	5310
hsa-mir-125b-1-3p	5154
hsa-mir-200c-3p	4942
hsa-mir-7974	4752
hsa-mir-130b-3p	4653
hsa-mir-101-3p	4545
hsa-mir-23a-3p	4265
hsa-mir-221-5p	3906
hsa-mir-19b-3p	3623
hsa-mir-196b-5p	3470
hsa-mir-196a-5p	3457
hsa-mir-301a-3p	3447
hsa-mir-375-3p	3309
hsa-mir-484	3128
hsa-mir-584-5p	3124
hsa-mir-877-5p	3092
hsa-mir-421	3002
hsa-mir-429	2981
hsa-mir-1304-3p	2977
hsa-mir-28-5p	2785
hsa-mir-24-3p	2775
hsa-mir-577	2755
hsa-mir-9-5p	2726
hsa-mir-192-5p	2457
hsa-mir-19a-3p	2302
hsa-mir-17-5p	2232
hsa-mir-340-5p	2208
hsa-mir-148b-5p	2169
hsa-mir-200a-3p	2077
hsa-mir-106b-5p	2057
hsa-mir-106b-3p	1904
hsa-mir-130b-5p	1895
hsa-mir-30b-5p	1860
hsa-mir-1180-3p	1824
hsa-mir-4454	1823
hsa-mir-149-5p	1815
hsa-mir-140-3p	1793
hsa-mir-561-5p	1776
hsa-mir-15b-5p	1732
hsa-mir-30e-3p	1657
hsa-mir-589-5p	1623
hsa-mir-141-5p	1604
hsa-mir-203a-3p	1551
hsa-mir-130a-3p	1514
hsa-mir-3615	1503
hsa-mir-335-3p	1468
