	Count
hsa-mir-21-5p	109661
hsa-mir-92a-3p	75325
hsa-mir-22-3p	73522
hsa-mir-222-3p	47532
hsa-mir-10a-5p	45784
hsa-mir-27b-3p	45398
hsa-mir-31-5p	41720
hsa-mir-10b-5p	40511
hsa-mir-26a-5p	26311
hsa-mir-16-5p	23169
hsa-mir-151a-5p	19307
hsa-mir-423-5p	18608
hsa-mir-423-3p	18425
hsa-mir-182-5p	16933
hsa-mir-21-3p	16763
hsa-mir-30e-5p	14507
hsa-mir-151a-3p	13949
hsa-mir-28-3p	12887
hsa-mir-181a-5p	12319
hsa-mir-103a-3p	11753
hsa-mir-27a-3p	9875
hsa-mir-320a-3p	9417
hsa-mir-191-5p	9209
hsa-mir-484	8978
hsa-mir-29a-3p	8637
hsa-mir-25-3p	8315
hsa-mir-221-3p	7792
hsa-let-7i-5p	6676
hsa-mir-100-5p	6310
hsa-let-7f-5p	5435
hsa-mir-3615	4903
hsa-mir-320b	4806
hsa-mir-30d-5p	4599
hsa-mir-7706	4564
hsa-mir-128-3p	3962
hsa-mir-92b-3p	3542
hsa-mir-196b-5p	3499
hsa-mir-186-5p	3477
hsa-mir-125a-5p	3242
hsa-mir-125b-5p	3238
hsa-mir-28-5p	2807
hsa-mir-378a-3p	2457
hsa-mir-941	2415
hsa-mir-4286	2220
hsa-mir-4454	2102
hsa-mir-30b-5p	2071
hsa-mir-7974	1982
hsa-mir-99b-5p	1876
hsa-mir-769-5p	1794
hsa-mir-26b-5p	1700
hsa-mir-486-5p	1660
hsa-mir-16-2-3p	1505
hsa-mir-23a-3p	1458
hsa-mir-30c-5p	1378
hsa-mir-301a-3p	1301
hsa-mir-101-3p	1198
hsa-mir-584-5p	1192
hsa-mir-181b-5p	1182
hsa-mir-93-5p	1142
hsa-let-7g-5p	1131
hsa-mir-15b-5p	1108
hsa-mir-345-5p	1094
hsa-mir-19b-3p	1078
hsa-mir-192-5p	965
hsa-mir-107	962
hsa-mir-140-3p	957
hsa-mir-203a-3p	904
hsa-mir-148a-3p	888
hsa-mir-301b-3p	877
hsa-mir-1307-5p	832
hsa-mir-744-5p	803
hsa-mir-12136	790
hsa-mir-183-5p	739
hsa-mir-151b	705
hsa-let-7a-5p	654
hsa-mir-200b-3p	636
hsa-mir-222-5p	632
hsa-mir-625-3p	627
hsa-mir-1275	623
hsa-let-7d-5p	604
hsa-mir-2110	592
hsa-mir-671-3p	555
hsa-mir-15b-3p	538
hsa-mir-193b-3p	517
hsa-mir-625-5p	513
hsa-mir-1296-5p	498
hsa-mir-221-5p	485
hsa-mir-561-5p	477
hsa-mir-24-3p	473
hsa-mir-1307-3p	469
hsa-mir-550a-3p	465
hsa-mir-1180-3p	456
hsa-mir-2277-5p	452
hsa-mir-126-5p	451
hsa-mir-130a-3p	444
hsa-mir-27b-5p	408
hsa-mir-23b-3p	405
hsa-mir-148b-3p	372
hsa-mir-196a-5p	370
hsa-mir-3928-3p	369
hsa-mir-30a-5p	361
hsa-mir-19a-3p	357
hsa-mir-3158-3p	356
hsa-mir-197-3p	350
hsa-mir-181a-3p	340
hsa-mir-10399-3p	339
hsa-mir-30e-3p	317
hsa-mir-589-5p	312
hsa-mir-1285-3p	311
hsa-mir-15a-5p	304
hsa-mir-128-1-5p	301
hsa-mir-320c	291
hsa-mir-10527-5p	281
hsa-mir-339-3p	278
hsa-mir-641	275
hsa-mir-1304-3p	273
hsa-mir-125b-1-3p	268
hsa-mir-590-3p	266
hsa-mir-98-5p	262
hsa-mir-429	261
hsa-let-7b-5p	257
hsa-mir-629-5p	254
hsa-mir-342-3p	252
hsa-mir-548k	251
hsa-mir-548e-3p	248
hsa-mir-96-5p	248
hsa-mir-1260b	246
hsa-mir-10399-5p	245
hsa-mir-1273c	229
hsa-mir-425-5p	221
hsa-mir-126-3p	217
hsa-mir-576-5p	216
hsa-mir-330-5p	215
hsa-mir-130b-3p	214
hsa-mir-454-3p	208
hsa-mir-548o-3p	204
hsa-mir-210-3p	204
hsa-mir-615-3p	202
hsa-mir-4741	194
hsa-mir-106b-3p	194
hsa-mir-20a-5p	192
hsa-mir-17-5p	189
hsa-mir-148b-5p	185
hsa-mir-505-3p	180
hsa-mir-200a-3p	177
hsa-mir-141-3p	177
hsa-mir-421	177
hsa-mir-24-2-5p	174
hsa-mir-652-3p	170
hsa-mir-361-5p	168
hsa-mir-550a-5p	164
hsa-mir-577	163
hsa-mir-361-3p	160
hsa-mir-149-5p	152
hsa-mir-10a-3p	151
hsa-mir-375-3p	150
hsa-mir-25-5p	149
hsa-mir-33b-5p	144
hsa-mir-320d	143
hsa-mir-224-5p	143
hsa-mir-4521	141
hsa-mir-106b-5p	141
hsa-mir-27a-5p	135
hsa-mir-1285-5p	135
hsa-mir-34a-5p	133
hsa-mir-942-5p	133
hsa-mir-671-5p	129
hsa-mir-31-3p	128
hsa-mir-7705	128
hsa-mir-339-5p	125
hsa-mir-146b-5p	121
hsa-mir-153-3p	121
hsa-mir-326	121
hsa-mir-33b-3p	119
hsa-mir-1294	114
hsa-mir-29b-3p	114
hsa-mir-340-5p	112
hsa-mir-2392	111
hsa-mir-4661-5p	110
hsa-mir-92a-1-5p	109
hsa-mir-29c-3p	109
hsa-mir-374a-5p	108
hsa-mir-532-5p	107
hsa-mir-194-5p	106
hsa-mir-556-5p	104
hsa-mir-3941	100
hsa-mir-454-5p	100
hsa-mir-378c	100
hsa-mir-1301-3p	93
hsa-mir-331-3p	91
hsa-mir-2277-3p	91
hsa-mir-374b-5p	90
hsa-mir-328-3p	89
hsa-mir-1255a	88
hsa-mir-181c-5p	86
hsa-mir-3176	85
hsa-mir-627-3p	84
hsa-mir-9-5p	84
hsa-mir-486-3p	79
hsa-mir-627-5p	78
hsa-mir-330-3p	77
hsa-mir-3648	76
hsa-mir-378d	76
hsa-mir-374a-3p	75
hsa-mir-331-5p	73
hsa-mir-9903	70
hsa-mir-4697-3p	68
hsa-mir-500a-3p	65
hsa-mir-4517	64
hsa-mir-449a	64
hsa-mir-1303	63
hsa-mir-1260a	62
hsa-mir-877-5p	61
hsa-mir-548bc	59
hsa-mir-32-5p	59
hsa-mir-130b-5p	57
hsa-mir-4479	57
hsa-mir-100-3p	56
hsa-mir-135b-5p	55
hsa-mir-95-3p	55
hsa-mir-3200-3p	53
hsa-mir-6724-5p	53
hsa-mir-574-3p	53
hsa-mir-1268a	53
hsa-mir-378f	52
hsa-mir-1268b	52
hsa-mir-2467-5p	52
hsa-mir-8086	52
hsa-mir-7-5p	51
hsa-mir-99b-3p	49
hsa-mir-576-3p	49
hsa-mir-7-1-3p	49
hsa-mir-324-3p	49
hsa-mir-132-3p	48
hsa-mir-548n	48
hsa-mir-4775	48
hsa-mir-26b-3p	47
hsa-mir-301a-5p	47
hsa-mir-3665	46
hsa-let-7d-3p	45
hsa-mir-22-5p	45
hsa-mir-4677-3p	44
hsa-mir-7704	43
hsa-let-7e-5p	43
hsa-mir-3614-5p	42
hsa-mir-142-5p	42
hsa-mir-1843	41
hsa-mir-548u	39
hsa-mir-1287-5p	39
hsa-mir-548f-3p	39
hsa-mir-5092	37
hsa-mir-1266-5p	37
hsa-mir-501-3p	36
hsa-mir-548e-5p	36
hsa-mir-12135	36
hsa-mir-1538	36
hsa-mir-215-5p	36
hsa-mir-4260	35
hsa-mir-196b-3p	35
hsa-mir-642a-5p	35
hsa-mir-551a	35
hsa-mir-3613-5p	34
hsa-mir-191-3p	33
hsa-mir-636	33
hsa-mir-147b-3p	33
hsa-mir-93-3p	32
hsa-mir-98-3p	32
hsa-mir-5001-3p	32
hsa-mir-573	32
hsa-mir-643	32
hsa-mir-203b-3p	31
hsa-mir-1246	31
hsa-mir-181d-5p	30
hsa-mir-99a-5p	29
hsa-mir-9985	29
hsa-mir-4449	29
hsa-mir-940	29
hsa-mir-660-5p	28
hsa-mir-324-5p	28
hsa-mir-1276	28
hsa-mir-200a-5p	28
hsa-mir-589-3p	28
hsa-mir-125a-3p	27
hsa-mir-30d-3p	27
hsa-mir-4485-3p	27
hsa-mir-1910-5p	27
hsa-mir-624-5p	27
hsa-mir-4709-5p	27
hsa-mir-10401-3p	27
hsa-mir-449c-5p	26
hsa-mir-3188	26
hsa-mir-210-5p	25
hsa-mir-4671-3p	25
hsa-mir-10400-5p	25
hsa-mir-1278	24
hsa-mir-4738-3p	24
hsa-mir-3159	24
hsa-mir-1468-5p	24
hsa-mir-615-5p	24
hsa-mir-483-3p	24
hsa-mir-4707-3p	24
hsa-mir-196a-1-3p	24
hsa-mir-4746-5p	24
hsa-mir-1304-5p	24
hsa-mir-3917	23
hsa-mir-4662a-5p	23
hsa-mir-30a-3p	23
hsa-mir-140-5p	22
hsa-mir-3662	22
hsa-mir-378a-5p	22
hsa-mir-3651	22
hsa-let-7i-3p	22
hsa-mir-760	22
hsa-mir-342-5p	22
hsa-mir-616-5p	22
hsa-mir-2115-5p	22
hsa-mir-335-3p	22
hsa-mir-195-5p	22
