SRR19795711_trimmed2.fasta,Count
mmu-mir-143-3p,2593015
mmu-mir-881-3p,111291
mmu-mir-148a-3p,96437
mmu-mir-99a-5p,55754
mmu-mir-21a-5p,53105
mmu-mir-34c-5p,33843
mmu-let-7g-5p,29678
mmu-let-7i-5p,25621
mmu-mir-126a-3p,22863
mmu-mir-26a-2-5p,17831
mmu-mir-26a-1-5p,17805
mmu-mir-27b-3p,15753
mmu-mir-10b-5p,11930
mmu-mir-100-5p,11777
mmu-let-7f-2-5p,9356
mmu-mir-30d-5p,9115
mmu-let-7f-1-5p,8861
mmu-mir-378a-3p,7729
mmu-mir-871-3p,7160
mmu-let-7c-2-5p,6932
mmu-let-7c-1-5p,6920
mmu-mir-10a-5p,6316
mmu-mir-30a-5p,6257
mmu-mir-1a-1-3p,5697
mmu-mir-1a-2-3p,5697
mmu-mir-200a-3p,5668
mmu-mir-145a-5p,5319
mmu-mir-200b-3p,5201
mmu-mir-99b-5p,4235
mmu-mir-203-3p,4124
mmu-mir-30c-1-5p,4109
mmu-mir-30c-2-5p,4108
mmu-mir-741-3p,3978
mmu-let-7a-1-5p,3830
mmu-let-7a-2-5p,3830
mmu-mir-880-3p,3724
mmu-mir-470-5p,3673
mmu-let-7b-5p,3427
mmu-mir-199a-2-3p,3215
mmu-mir-199b-3p,3211
mmu-mir-199a-1-3p,3210
mmu-mir-152-3p,3189
mmu-mir-6236-5p,3154
mmu-mir-191-5p,3135
mmu-mir-26b-5p,3031
mmu-mir-125b-1-5p,3011
mmu-mir-125b-2-5p,2956
mmu-mir-24-2-3p,2815
mmu-mir-24-1-3p,2815
mmu-mir-27a-3p,2625
mmu-mir-127-3p,2536
mmu-mir-743b-3p,2388
mmu-mir-205-5p,2376
mmu-mir-29a-3p,2191
mmu-mir-22-3p,2154
mmu-mir-465c-1-5p,1828
mmu-mir-465c-2-5p,1828
mmu-mir-6240-3p,1819
mmu-mir-25-3p,1819
mmu-mir-103-2-3p,1691
mmu-mir-103-1-3p,1681
mmu-mir-125a-5p,1645
mmu-mir-547-3p,1600
mmu-let-7d-5p,1588
mmu-mir-6406-5p,1573
mmu-mir-145a-3p,1521
mmu-mir-199a-2-5p,1480
mmu-mir-199a-1-5p,1473
mmu-mir-148b-3p,1445
mmu-mir-92a-1-3p,1444
mmu-mir-23b-3p,1429
mmu-mir-378c-5p,1427
mmu-mir-30e-5p,1423
mmu-mir-182-5p,1409
mmu-mir-34b-3p,1361
mmu-mir-872-5p,1270
mmu-mir-743a-3p,1240
mmu-mir-465b-2-5p,1238
mmu-mir-465b-1-5p,1238
mmu-mir-200c-3p,1167
mmu-mir-379-5p,1127
mmu-mir-181a-2-5p,1104
mmu-mir-181a-1-5p,1101
mmu-mir-20a-5p,1082
mmu-mir-322-3p,1043
mmu-mir-434-5p,1024
mmu-mir-202-5p,994
mmu-mir-101a-3p,984
mmu-mir-5099-3p,980
mmu-mir-101b-3p,970
mmu-mir-23a-3p,960
mmu-mir-143-5p,959
mmu-mir-184-3p,898
mmu-mir-196b-5p,891
mmu-mir-883a-3p,881
mmu-mir-878-5p,859
mmu-mir-411-5p,845
mmu-let-7e-5p,800
mmu-mir-93-5p,769
mmu-mir-141-3p,748
mmu-mir-1929-5p,712
mmu-mir-3470b-5p,684
mmu-mir-449a-5p,651
mmu-mir-7241-3p,646
mmu-mir-140-3p,639
mmu-mir-328-3p,637
mmu-mir-7a-1-5p,633
mmu-mir-465a-5p,621
mmu-mir-7a-2-5p,619
mmu-mir-429-3p,598
mmu-mir-192-5p,593
mmu-mir-16-1-5p,591
mmu-mir-30a-3p,585
mmu-mir-16-2-5p,577
mmu-mir-871-5p,552
