,Count
MIR156/157,35069
ath-MIR161,28476
ath-MIR845,25515
ath-MIR159,11592
MIR165/166,5236
ath-MIR5642,5174
ath-MIR162,4799
ath-MIR319,3140
ath-MIR169,2689
ath-MIR158,2528
ath-MIR168,2227
ath-MIR5645,2158
ath-MIR858,1680
ath-MIR5655,1382
ath-MIR5638,1336
ath-MIR396,1262
ath-MIR163,1086
ath-MIR824,1013
ath-MIR853,880
ath-MIR167,869
ath-MIR832,836
ath-MIR836,810
ath-MIR851,787
ath-MIR5021,722
ath-MIR780,721
ath-MIR841,718
ath-MIR822,713
ath-MIR403,711
ath-MIR2937,692
ath-MIR5639,686
ath-MIR173,658
ath-MIR840,588
ath-MIR5652,586
ath-MIR2111,570
ath-MIR2939,567
ath-MIR827,559
ath-MIR404,557
ath-MIR399,547
ath-MIR408,513
ath-MIR5660,507
ath-MIR829,507
ath-MIR839,499
ath-MIR8180,495
ath-MIR8175,487
ath-MIR5020,471
ath-MIR5634,437
ath-MIR5640,424
ath-MIR846,419
ath-MIR391,414
ath-MIR5630,410
ath-MIR5635,408
ath-MIR5647,405
ath-MIR8173,403
ath-MIR5665,395
ath-MIR3434,384
ath-MIR5641,372
ath-MIR5998,370
ath-MIR172,367
ath-MIR5653,366
ath-MIR855,363
ath-MIR5651,357
ath-MIR402,357
ath-MIR395,332
ath-MIR848,329
ath-MIR5026,328
ath-MIR160,325
ath-MIR8167,322
ath-MIR866,315
ath-MIR857,313
ath-MIR2933,310
ath-MIR5648,308
ath-MIR8183,300
ath-MIR447,295
ath-MIR401,287
ath-MIR869,286
ath-MIR778,276
ath-MIR5029,264
ath-MIR773,263
ath-MIR835,263
ath-MIR8182,259
ath-MIR868,251
ath-MIR5662,250
ath-MIR854,248
ath-MIR164,245
ath-MIR8171,238
ath-MIR856,227
ath-MIR847,216
ath-MIR398,209
ath-MIR5023,206
ath-MIR390,203
ath-MIR8176,201
ath-MIR5016,194
ath-MIR5017,194
ath-MIR394,190
ath-MIR3440,189
ath-MIR8174,187
ath-MIR8169,179
ath-MIR5658,172
ath-MIR823,167
ath-MIR863,166
ath-MIR4228,165
ath-MIR5015,164
ath-MIR4227,164
ath-MIR844,163
ath-MIR834,160
ath-MIR850,156
ath-MIR393,152
ath-MIR171,147
ath-MIR472,143
ath-MIR862,142
ath-MIR5028,138
ath-MIR831,137
ath-MIR842,130
ath-MIR833,129
ath-MIR5656,126
ath-MIR5018,125
ath-MIR5657,124
ath-MIR2934,124
ath-MIR774,124
ath-MIR405,123
ath-MIR826,121
ath-MIR4240,117
ath-MIR5022,111
ath-MIR2112,110
ath-MIR407,108
ath-MIR2936,108
ath-MIR828,105
ath-MIR5633,104
ath-MIR4243,101
ath-MIR5999,96
ath-MIR849,95
ath-MIR775,94
ath-MIR8181,92
ath-MIR5629,92
ath-MIR8165,92
ath-MIR400,91
ath-MIR771,91
ath-MIR859,85
ath-MIR8172,81
ath-MIR5654,79
ath-MIR4221,78
ath-MIR5644,77
ath-MIR10515,76
ath-MIR5646,74
ath-MIR781,73
ath-MIR8166,70
ath-MIR5025,70
ath-MIR5027,67
ath-MIR838,65
ath-MIR5632,59
ath-MIR5996,59
ath-MIR5637,57
ath-MIR8121,57
ath-MIR5024,57
ath-MIR4245,56
ath-MIR8170,55
ath-MIR5643,54
ath-MIR5012,54
ath-MIR5664,54
ath-MIR8178,49
ath-MIR413,49
ath-MIR5014,45
ath-MIR861,45
ath-MIR4239,45
ath-MIR830,44
ath-MIR406,43
ath-MIR397,43
ath-MIR3932,43
ath-MIR5997,42
ath-MIR843,40
ath-MIR3933,40
ath-MIR779,39
ath-MIR8168,38
ath-MIR1888,37
ath-MIR170,36
ath-MIR852,35
ath-MIR825,34
ath-MIR416,33
ath-MIR5013,30
ath-MIR865,30
ath-MIR870,29
ath-MIR5019,29
ath-MIR5636,28
ath-MIR1886,25
ath-MIR426,25
ath-MIR776,25
ath-MIR8177,24
ath-MIR5995,23
ath-MIR415,22
ath-MIR782,21
ath-MIR5631,20
ath-MIR419,20
ath-MIR5659,19
ath-MIR5628,19
ath-MIR837,19
ath-MIR414,19
ath-MIR5666,18
ath-MIR867,18
ath-MIR418,17
ath-MIR8184,16
ath-MIR5595,14
ath-MIR5663,13
ath-MIR2938,13
ath-MIR864,12
ath-MIR860,11
ath-MIR8179,9
ath-MIR5649,9
ath-MIR417,8
ath-MIR1887,7
ath-MIR420,6
ath-MIR5650,4
ath-MIR777,3
ath-MIR5661,2
